NAMES,Code_prelevement,taxon,nom_vernaculaire,family,genus,species,habitat,feeding_mode,trait_tl,body_shape,fin_shape,AR,offspring_size,age_maturity,level_age_maturity,fecundity,length_infinity,growth_coefficient,length_max,age_max,dist_Lm1_Lm2_(L_en_mm),dist_Lm3_Lm4_(l_en_mm),dist_Lm5_Lm6_(h_en_mm),Area_mm2,Vol_mm3,otolith_side,fish_tl_cm,fish_W_g,Sexe,Maturity,Date,Zone,Campagne/ Lieu,resolution_µm,tension_KeV,courant_µA,exposition_ms,filter_alu,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103
22CHELCUC001-0041_l,22CHELCUC001-0041,Chelidonichthys cuculus,Grondin rouge,Triglidae,Chelidonichthys,cuculus,benthic,generalist,3.81,fusiform,truncate,2.400759459,1.55,3.5,spe,57500,39.39999962,0.487414116,34,17,3.102211874,2.532857263,0.56603508,13.30195431,2.02850325,gauche,18.9,58,F,NA,44871,1.90E+08,EVHOE22,10,45,75,120,"alu 0,5",0.021661568,0.00777624,0.001763684,0.001633909,-0.005406766,0.005793815,-0.003440559,0.00150372,-0.000945621,-0.003694278,0.002274666,6.68E-06,-0.002178779,-0.000888335,0.00226326,-0.005485536,0.001027579,-0.002024238,0.006086754,-0.003054637,0.002390552,0.001266356,0.001023985,-0.000913835,-0.000137537,0.00052458,-0.001135025,0.00188654,0.000305146,-0.000212964,0.001952626,0.003735576,-0.000945833,0.00113114,-0.003501907,0.002140974,0.000662566,0.001215734,-0.000843859,0.00107723,-2.32E-05,0.000280261,-0.001722197,0.00135134,0.000848215,-0.001229646,-0.002221929,0.000752484,-0.001811135,-0.001516178,-0.001005119,-0.001606294,-0.002663316,-0.001757366,0.001655052,0.00018845,-0.000625203,-0.000452172,9.09E-05,-0.000975838,-0.000327535,0.001147871,-0.001368519,0.000572105,-3.87E-05,0.000556117,-0.001204421,-0.00012616,-0.000617329,-0.000729265,-0.000132123,-0.000225393,0.000473474,0.001707852,0.000805639,-2.06E-06,-0.00022405,0.000202844,-0.001008897,0.001152968,-0.000885252,0.000205264,-0.000131739,0.000319763,0.000835264,0.00128571,-0.000375802,-0.000488129,0.000924337,-0.000347002,0.000673405,0.000389987,-0.000216456,-7.47E-05,0.000399378,-3.82E-05,-1.08E-05,5.95E-06,-0.000281549,0.00054117,0.000383189,-0.000168711,0.000159873
22CHELCUC001-0087_l,22CHELCUC001-0087,Chelidonichthys cuculus,Grondin rouge,Triglidae,Chelidonichthys,cuculus,benthic,generalist,3.81,fusiform,truncate,2.400759459,1.55,3.5,spe,57500,39.39999962,0.487414116,34,17,4.281087565,3.247554624,0.599486497,22.91711807,3.86438875,droit,27.6,206,F,NA,44878,2.20E+08,EVHOE22,10,45,75,120,"alu 0,5",0.02417697,0.005192945,-0.004316113,-0.006332073,-0.023796291,0.000308348,-0.011565604,0.003498323,-0.007165841,0.002527096,0.00382708,-0.002976158,-0.001208501,-0.000965054,-0.000731225,-8.29E-05,0.004499896,0.00254589,0.002386752,0.001771911,0.001675274,0.002755532,0.00093332,9.41E-05,-0.000521157,0.003147814,-0.004287724,0.000110084,-0.002104886,0.001491458,-0.000207753,-0.000112929,-0.002715849,0.001715791,0.003054017,-0.004589066,-0.000722482,0.003095292,0.001837793,-0.001034055,-0.001314128,0.001713049,0.000494151,0.002468556,-0.000792763,0.002802685,0.000487303,0.001552147,0.000671049,-0.000328908,0.00044869,-7.36E-05,5.95E-05,0.00146526,-0.001154396,-7.15E-05,0.000873265,0.000711427,-0.000430705,-0.001047105,-0.001714365,0.000704076,-0.000258698,0.000279889,0.000631402,-0.000136812,0.000151098,0.001053287,0.001031276,-0.000144364,-5.75E-05,0.000774168,-0.000332073,0.00124539,-6.02E-05,0.00020853,-0.000890527,0.000217452,-0.000247524,-0.00071696,-4.19E-05,-0.000729325,0.000152764,-6.21E-05,9.63E-05,0.000337769,0.000323625,0.000483026,-0.000237004,-9.29E-05,0.000204241,0.000213719,0.000265046,-0.000238519,-0.000384921,-4.36E-05,0.000213748,0.000249137,0.000146674,1.94E-05,-4.02E-05,0.00014051,-0.00010445
22CHELCUC001-0110_r,22CHELCUC001-0110,Chelidonichthys cuculus,Grondin rouge,Triglidae,Chelidonichthys,cuculus,benthic,generalist,3.81,fusiform,truncate,2.400759459,1.55,3.5,spe,57500,39.39999962,0.487414116,34,17,2.373154178,1.692832851,0.476847161,6.716686785,0.805175875,droit,10.2,10,UNK,NA,44881,2.40E+05,EVHOE22,10,45,75,115,"alu 0,5",0.017788509,0.00470741,-0.004041131,-0.00466784,-0.0059906,0.006131339,-0.009017493,0.003640207,0.001000183,-0.005027303,0.006183521,-0.003043132,0.000312373,-0.003801108,-0.001659176,-0.002538962,0.000318452,-0.003307045,0.002034541,-0.00154444,0.00566022,-0.00019708,0.003548895,0.003532526,0.000437192,-0.002203213,-0.003025156,-0.001725399,-0.00049347,0.001329564,0.00050119,-0.002627279,-0.001544039,0.000420462,-0.000852126,-0.00016243,-0.003311087,-0.003670033,-0.000930778,3.29E-05,0.002574428,0.000820405,-0.000211227,-0.000459624,-7.37E-05,0.000504271,-0.001259497,0.000428493,-7.07E-05,0.002529105,0.000446132,0.001059522,-0.001211527,-0.000754537,0.000989254,0.00128284,-0.00013781,0.001579549,0.000222044,0.002382122,0.001237498,-0.000372461,0.000403568,-0.000835924,3.66E-05,-0.000700323,-0.000546447,0.000283709,0.000256434,0.001239755,0.001277376,-9.67E-05,-0.001252826,-0.00127779,-0.000693121,0.000547127,-0.000550861,-0.000816417,-0.000392294,-0.00012487,0.000406197,0.000456016,9.55E-05,4.49E-05,-0.00028323,-7.23E-06,-0.001097098,0.00059718,0.000432191,-0.000302033,-2.34E-05,-0.000420449,0.00018941,-5.90E-05,0.000420303,-0.000884919,-0.000422912,0.000148246,0.000172396,0.000480244,-0.000326275,-3.17E-06,-5.04E-05
22CHELCUC001-0147,22CHELCUC001-0147,Chelidonichthys cuculus,Grondin rouge,Triglidae,Chelidonichthys,cuculus,benthic,generalist,3.81,fusiform,truncate,2.400759459,1.55,3.5,spe,57500,39.39999962,0.487414116,34,17,5.480396308,3.984658733,0.917815658,36.44422092,8.0772365,droit,40.1,588,F,NA,44884,2.50E+01,EVHOE22,10,45,75,115,"alu 0,5",0.016098452,0.003756149,-0.00140466,-0.001058552,-0.012068102,0.005925141,-0.004671929,-0.000988178,-0.003047347,-0.002758995,0.007535119,-0.002314416,-0.006430504,-0.004646957,-0.003878223,-0.002247358,0.004526492,-6.85E-05,0.003590082,0.001879003,-0.000575496,-0.000255779,-0.00183742,0.000163912,0.002025624,-0.002937584,0.001999427,0.000361281,-0.000613393,0.001692294,-0.003178426,0.002349058,0.004217203,0.002804749,-0.00061683,0.003029184,-3.37E-05,-0.002092818,-9.38E-05,-0.003116439,0.000521195,-0.001476348,0.000479171,0.000650843,-0.000154074,-0.000430748,0.000832092,-0.000365701,0.000554455,1.80E-05,-0.000309787,0.000469368,-0.001781076,-0.000393611,-0.001629803,-0.00149759,-0.000155567,-0.000717249,-0.000708098,0.000750747,-0.000645235,0.000187484,-0.000411758,0.001538306,-2.22E-05,-2.42E-05,0.002210701,-0.001434004,-0.00046662,0.000451546,-0.000453571,-0.000173111,0.000584783,0.000354671,-0.000442679,0.000603946,0.000295139,-0.000148785,0.001153303,0.000333185,0.000870898,0.000146909,-0.000179817,-0.000656054,-0.000510803,0.000278074,0.000205678,-0.000473042,-0.000355817,0.000415359,-0.001038635,0.00024989,0.001155841,0.000394975,0.000123552,0.000456624,4.90E-05,-0.000158817,0.00015487,-0.000237384,-0.000372382,-2.04E-05,0.000237225
22CHELCUC001-0158_l,22CHELCUC001-0158,Chelidonichthys cuculus,Grondin rouge,Triglidae,Chelidonichthys,cuculus,benthic,generalist,3.81,fusiform,truncate,2.400759459,1.55,3.5,spe,57500,39.39999962,0.487414116,34,17,5.53187411,4.387282529,0.918721073,41.75577887,9.880978,gauche,44.6,796,F,NA,44895,2.70E+03,EVHOE22,10,45,75,115,"alu 0,5",0.034949501,-0.007614483,0.00890307,0.008614858,-0.013327738,0.002958093,-0.01155609,-0.007801301,0.004794432,-0.005994613,0.003973868,0.012658574,0.010694947,-0.004920992,-0.004345263,0.004245762,0.000642384,-0.001689285,0.000199855,-0.00304784,-0.003094515,0.007078284,-0.003423867,-0.00176022,0.001919893,-0.000837259,0.002575707,-0.000893326,-0.002190569,0.001653161,0.005442272,-0.000803597,0.001737717,-0.003479276,0.002381297,0.001814765,-0.00056208,-0.000149811,-0.001148385,-0.000615829,-0.001475115,0.000783873,-0.001444136,0.000556251,-0.001684972,-0.000849275,0.000762476,0.000552666,0.000953719,-0.001063722,0.000294466,-0.000182804,0.000496666,-0.000262261,0.000845156,-0.000248699,0.000339799,-0.000729779,0.000227276,0.000519654,0.000549856,0.000688497,-4.86E-05,-0.000574271,-0.00059995,-0.000238713,-4.20E-05,0.000658738,0.000293386,0.000225594,-0.0004428,0.000214547,0.000245774,-0.000223565,0.000142445,0.000389757,0.000342896,-0.000168721,0.000129172,-0.000346343,0.000425737,-1.05E-06,0.000279772,0.000563344,-0.000127245,-0.000375944,5.40E-05,-0.000394997,0.000249005,-3.00E-05,-0.000289063,0.00010034,-0.00039167,0.000209155,-0.000305857,-6.60E-05,6.25E-05,-4.97E-05,-0.000222901,0.00029927,6.86E-05,-5.56E-05,-7.62E-05
22CLUPHAR001-0105_l,22CLUPHAR001-0105,Clupea harengus,Hareng,Clupeidae,Clupea,harengus,pelagic,planktivorous,3.38,fusiform,forked,2.128620148,1.2,3.219761908,spe-ocean,37783,31.78916439,0.340761766,25.6,18.5,4.72789407,2.381741685,0.838929227,20.23420503,2.98007575,gauche,31.8,201,F,NA,44582,7D,IBTS22,13,60,70,80,"alu 0,5",-0.013110179,-0.017097714,-0.001018013,-0.00376364,0.001319469,-0.004170141,-0.005133648,-0.009315084,-0.005507565,-0.007826927,0.00119005,-0.001394341,0.002470533,0.001437121,0.007828309,-0.001882736,0.002494691,0.001375226,0.002500619,0.005664341,0.00057368,-0.001702074,0.007089636,-0.004681913,0.00049541,-0.001626387,-1.03E-05,-0.001455586,-0.001905544,0.001782392,-0.001884161,-0.001071163,-0.001613342,-0.002393521,0.003124518,-0.002037027,0.000906422,-0.00040312,6.48E-05,-0.000134762,0.000730706,-0.002635101,-0.001988616,0.000415224,0.000690237,-0.00305146,0.000354697,-0.002080381,0.000663519,0.000525403,-0.000770618,0.001411414,-0.00109126,0.00086361,0.001722835,0.000457857,0.001327258,-0.000213299,0.000256752,-0.001058562,0.000494565,0.000469876,0.001307844,-0.000762145,-0.000613718,0.000561084,0.000339011,0.000135281,-0.000923288,0.000376942,0.000157429,-0.000149192,-0.000172016,0.000604856,0.000584381,0.000759373,-0.000379821,0.001298806,-0.000801462,0.000743743,0.000493798,-0.000473359,-0.000851923,5.70E-05,-0.000238206,-0.000289819,-0.000283104,-0.000378604,-0.000298072,6.48E-05,-0.000190114,0.00040426,0.00025224,0.000270203,-0.000127622,2.28E-05,0.000262422,-0.000356796,-0.000134694,1.36E-06,5.11E-05,-0.000208727,-9.25E-05
22CLUPHAR001-0161_l,22CLUPHAR001-0161,Clupea harengus,Hareng,Clupeidae,Clupea,harengus,pelagic,planktivorous,3.38,fusiform,forked,2.128620148,1.2,3.219761908,spe-ocean,37783,31.78916439,0.340761766,25.6,18.5,2.720206375,1.288787173,0.3710165,5.916204677,0.532756813,droit,15,20,M,NA,44585,36F7,IBTS22,15,55,65,95,"alu 0,5",-0.012847314,-0.018067574,-0.00161937,-0.000420806,-0.001205096,-0.00493797,-0.00019678,-0.002787674,-0.005066276,-0.003716786,-0.002511716,-0.00087478,-0.000828597,-0.001825058,0.004035772,2.75E-06,0.000213771,0.001263896,-0.001890348,0.001337271,0.001643941,-0.000676189,-0.002476258,0.000876297,-0.005562484,0.003028265,0.002670421,-0.001008676,0.000117224,0.000493274,0.001095245,-0.000381113,0.001600233,0.003865675,0.00109967,-0.000692977,0.002847132,-0.000727088,0.00039903,-0.001720268,-0.000686916,-0.00019027,0.000429722,-0.000652318,0.001362961,0.000438989,-0.000158337,0.002325334,0.001903206,1.15E-05,-0.000882061,-6.15E-05,0.000577601,0.000104859,-0.000179522,-0.000106091,-0.002428978,-0.00010234,0.000195295,0.001201988,0.001411277,-0.000381394,-0.000542474,0.000849935,-0.000213957,0.0010656,-0.001916639,0.00099666,0.000360649,0.000209252,0.000234952,0.000608614,0.000116989,-0.000581933,-0.000365697,-0.000239379,0.000425749,-0.000168628,-0.001308227,0.000977324,0.000503724,-0.000302395,-0.000105924,0.001162043,-0.000814434,0.001319407,0.000416865,-0.000293097,-0.000257317,0.000381571,-0.000653897,4.13E-06,0.000114395,0.00158927,-0.000364818,-0.000659701,4.83E-05,0.000128233,7.72E-05,0.000707289,-0.000117131,0.000289714,0.000242189
22CLUPHAR001-018_l,22CLUPHAR001-0018,Clupea harengus,Hareng,Clupeidae,Clupea,harengus,pelagic,planktivorous,3.38,fusiform,forked,2.128620148,1.2,3.219761908,spe-ocean,37783,31.78916439,0.340761766,25.6,18.5,4.778070335,2.059773838,0.792212623,17.5233645,2.3992105,gauche,29.3,168,M,NA,44579,7D,IBTS22,15,55,65,95,"alu 0,5",-0.018113418,-0.007928135,-0.009762377,-0.01414324,0.000594224,0.003759046,-0.001789459,-0.007094799,-0.000405781,-0.005097358,-0.001791434,0.001121404,0.004273166,0.000888084,0.004182386,0.000274308,-0.003342564,-0.000558563,-0.001038799,0.002361679,-0.00085715,0.001022271,0.001138218,0.000550752,-0.000288084,0.002384172,0.000631801,0.001674491,-0.00184575,-0.000495434,-0.002826928,-0.000668141,-0.000664419,-0.003156428,-0.000330776,0.001901441,-0.000162049,-0.001403116,-0.001282105,0.002234641,0.000471145,0.000886672,-0.003190009,0.000981207,0.00311652,0.003056414,-0.000175062,0.00184831,-6.88E-05,0.00047883,0.00198083,-0.001794277,-0.001392296,0.000558605,-0.001590144,-1.50E-05,-0.000258425,0.001276344,-0.000925887,-0.000976285,-0.001295301,-0.000110762,-0.000679696,-0.000773654,-0.000992656,2.26E-05,0.000652591,-0.001302399,-0.000447958,-0.00100653,-0.00032168,0.000121497,0.001309923,-0.001174155,-0.000226239,0.000292263,0.000788822,0.000179082,0.000615694,-0.000655696,-0.000205661,0.000278234,0.001438695,0.000483673,0.000179316,0.000321256,-0.000119614,-1.59E-06,-4.38E-06,0.000378164,0.000178051,-3.73E-05,0.000926083,0.000173302,-0.000169467,-0.000623467,5.66E-05,-0.000376389,-0.000243565,0.000194486,-0.000143728,0.000497766,-0.000134291
22CLUPHAR001-0328,22CLUPHAR001-0328,Clupea harengus,Hareng,Clupeidae,Clupea,harengus,pelagic,planktivorous,3.38,fusiform,forked,2.128620148,1.2,3.219761908,spe-ocean,37783,31.78916439,0.340761766,25.6,18.5,3.263999953,1.476452796,0.518325975,8.823138316,0.977513063,droit,18,34,F,NA,44596,36F1,IBTS22,16,55,65,95,"alu 0,5",-0.012877061,-0.018882242,0.004472375,0.002544129,0.005821641,0.000374977,-0.005749413,-0.004869633,0.002562845,-0.000300165,-0.001113375,0.001771174,0.005892868,-0.000543058,0.003726938,0.000322897,0.003577864,-0.000922934,0.0037798,0.000818315,-0.000966413,0.000697448,0.002775812,-0.000203558,-0.002414379,-0.003811244,-0.001912817,0.001045145,-0.000624566,0.002694879,-0.001070857,0.001950269,0.001758277,0.002163378,-0.000159359,-0.002961864,-0.002666292,-0.001968567,0.000527183,0.001039414,-2.04E-05,-0.001355293,0.002013728,-0.002176793,-0.000204971,0.000619356,-0.000271936,0.000628497,-0.000935442,-0.004069244,-0.000237672,-0.001431018,-0.000770906,0.000569046,-0.000249095,-0.000354306,0.000420841,-0.000111132,0.000194059,-0.000635202,0.000909282,-0.000451988,-0.000860122,0.00191887,0.001025192,0.000344797,-0.001237794,5.10E-05,0.000445075,0.000819671,-0.001001158,-0.000372496,0.00130041,-0.000674702,-0.00044346,-0.000556559,-5.20E-05,5.10E-05,0.000632587,-0.000702658,-0.000928958,-9.58E-05,0.000170918,7.44E-05,0.000244642,-0.001254929,-0.000172915,0.000784587,-0.000602975,-0.000832916,1.00E-05,-2.05E-05,-3.77E-05,-0.000100092,0.000566375,-0.000376921,-0.001058234,4.92E-05,-9.68E-05,-0.00026712,-9.66E-05,0.000227693,-7.35E-05
22CLUPHAR001-0362_l,22CLUPHAR001-0362,Clupea harengus,Hareng,Clupeidae,Clupea,harengus,pelagic,planktivorous,3.38,fusiform,forked,2.128620148,1.2,3.219761908,spe-ocean,37783,31.78916439,0.340761766,25.6,18.5,3.690895517,1.732801458,0.618129495,11.33200605,1.388782875,gauche,23.3,79,M,NA,44599,4C,IBTS22,18,55,65,95,"alu 0,5",-0.016276083,-0.007233526,-0.003845661,-0.001923889,0.003713245,0.00243879,-0.005852993,-0.008409964,-0.007141858,-0.002083538,-0.001540815,-0.001062259,-0.00183428,0.003154611,0.007162054,-0.000737082,-0.003721432,0.001211734,0.001309896,0.001446317,4.92E-05,0.000492841,-0.000895006,-0.003380146,0.000347198,0.002199266,0.002963007,0.000844031,-0.002257077,-0.001431031,-0.001209206,-0.000612514,0.001108171,-1.34E-05,0.000595998,0.000410143,0.000709303,-0.00172323,0.000983527,-0.001082755,-0.001311691,0.000133107,-0.000394105,-0.000996872,-0.000887175,0.000272245,0.001168825,-0.000233484,0.001617722,0.001580878,0.00061478,4.08E-05,-0.001129433,-0.000834851,0.000553601,-0.001709817,0.000118964,0.00038069,-0.000908978,0.000475631,-0.001000648,-6.80E-06,-0.000310705,-0.000180671,0.00230396,-0.001230194,0.000176676,0.000495838,0.001739821,0.001031516,-0.000244598,-0.000543159,-0.000467107,0.001037746,-0.000370786,-0.000274458,0.000274866,-0.002019112,0.000623657,0.000104115,0.000311634,0.001162427,-6.75E-06,0.00041548,0.000681334,0.000117386,0.000172941,5.26E-05,0.001027612,-3.11E-05,0.00066341,-0.000107493,-0.001493111,-0.000695546,0.001083443,0.000163066,-0.000159217,0.000374828,0.000518091,-0.000249454,0.000750314,6.44E-05,0.000180698
